"region_id","year","status"
"Licanten",2017,0.132153716
"Licanten",2018,0.29558968
"Licanten",2019,0.248429277
"Licanten",2020,0.547542967
"Licanten",2021,0.620681377
"Los Muermos",2017,0.167309598
"Los Muermos",2018,0.22007488
"Los Muermos",2019,0.142771913
"Los Muermos",2020,0.143354137
"Los Muermos",2021,0.47696278
"Los vilos",2017,0.382958173
"Los vilos",2018,0.269679731
"Los vilos",2019,0.056877899
"Los vilos",2020,0.326520635
"Los vilos",2021,0.194319437
"Lota",2017,0.30550629
"Lota",2018,0.087172082
"Lota",2019,0.257690606
"Lota",2020,0.222624849
"Lota",2021,0.426614288
"Mariquina",2017,0.041360922
"Mariquina",2018,0.375998434
"Mariquina",2019,0.290585063
"Mariquina",2020,0.143419363
"Mariquina",2021,0.279834855
"Maullin",2017,0.107694304
"Maullin",2018,0.242111963
"Maullin",2019,0.366269055
"Maullin",2020,0.204884267
"Maullin",2021,0.05965516
"Mejillones",2017,0.356641037
"Mejillones",2018,0.254436019
"Mejillones",2019,0.062633636
"Mejillones",2020,0.28578785
"Mejillones",2021,0.441871833
"Natales",2017,0.489729288
"Natales",2018,0.457236773
"Natales",2019,0.401384002
"Natales",2020,0.442401399
"Natales",2021,0.178851589
"Navidad",2017,0.411721179
"Navidad",2018,0.27218092
"Navidad",2019,0.239346488
"Navidad",2020,0.07780869
"Navidad",2021,0.075016519
"Ovalle",2017,0.431639884
"Ovalle",2018,0.148695056
"Ovalle",2019,0.167151132
"Ovalle",2020,0.123718555
"Ovalle",2021,0.226926412
"Papudo",2017,0.381813943
"Papudo",2018,0.18314774
"Papudo",2019,0.068507912
"Papudo",2020,0.239914133
"Papudo",2021,0.185858815
"Paredones",2017,0.460688292
"Paredones",2018,0.211745923
"Paredones",2019,0.186164584
"Paredones",2020,0.330269507
"Paredones",2021,0.330151826
"Pelluhue",2017,0.149969083
"Pelluhue",2018,0.462868703
"Pelluhue",2019,0.214094678
"Pelluhue",2020,0.28533822
"Pelluhue",2021,0.287671558
"Penco",2017,0.341075919
"Penco",2018,0.055216774
"Penco",2019,0.383350942
"Penco",2020,0.122513663
"Penco",2021,0.0733504
"Pichilemu",2017,0.39155943
"Pichilemu",2018,0.364493473
"Pichilemu",2019,0.07493795
"Pichilemu",2020,0.137492087
"Pichilemu",2021,0.243498899
"Porvenir",2017,0.580752736
"Porvenir",2018,0.383212822
"Porvenir",2019,0.407550484
"Porvenir",2020,0.2775842
"Porvenir",2021,0.161736356
"Puchuncavi",2017,0.394536345
"Puchuncavi",2018,0.356455354
"Puchuncavi",2019,0.062721907
"Puchuncavi",2020,0.402666706
"Puchuncavi",2021,0.215487129
"Puerto Montt",2017,0.474676925
"Puerto Montt",2018,0.311781258
"Puerto Montt",2019,0.142952862
"Puerto Montt",2020,0.23516528
"Puerto Montt",2021,0.134495793
"Puerto Varas",2017,0.401293455
"Puerto Varas",2018,0.223959675
"Punta Arenas",2017,0.437904925
"Punta Arenas",2018,0.499205077
"Punta Arenas",2019,0.328802102
"Punta Arenas",2020,0.337931385
"Punta Arenas",2021,0.116123419
"Puqueldon",2017,0.097530113
"Puqueldon",2018,0.107239649
"Puqueldon",2019,0.187955647
"Puqueldon",2020,0.189969825
"Puqueldon",2021,0.386848228
"Purranque",2017,0.156065789
"Purranque",2018,0.416346613
"Purranque",2019,0.151318991
"Purranque",2020,0.095340945
"Purranque",2021,0.034962204
"Queilen",2017,0.146899546
"Queilen",2018,0.365224892
"Queilen",2019,0.09783967
"Queilen",2020,0.406354298
"Queilen",2021,0.322946083
"Quellon",2017,0.445124994
"Quellon",2018,0.193728396
"Quellon",2019,0.226169846
"Quellon",2020,0.169552458
"Quellon",2021,0.084668908
"Quemchi",2017,0.480527753
"Quemchi",2018,0.24914039
"Quemchi",2019,0.268949982
"Quemchi",2020,0.395236047
"Quemchi",2021,0.114407416
"Quinchao",2017,0.486024638
"Quinchao",2018,0.301283405
"Quinchao",2019,0.181304654
"Quinchao",2020,0.156315217
"Quinchao",2021,0.138549533
"Quintero",2017,0.44494609
"Quintero",2018,0.161780782
"Quintero",2019,0.078579852
"Quintero",2020,0.118497006
"Quintero",2021,0.19910331
"Rio Verde",2017,0.740971971
"Rio Verde",2018,0.41926816
"Rio Verde",2019,0.719782459
"Saavedra",2017,0.455558745
"Saavedra",2018,0.258242619
"Saavedra",2019,0.108931916
"Saavedra",2020,0.232083431
"Saavedra",2021,0.132551602
"San antonio",2017,0.394608021
"San antonio",2018,0.205347813
"San antonio",2019,0.086253977
"San antonio",2020,0.056399825
"San antonio",2021,0.176260258
"San Juan de la Costa",2017,0.403057377
"San Juan de la Costa",2018,0.219985798
"San Juan de la Costa",2019,0.047757972
"San Juan de la Costa",2020,0.095680866
"San Juan de la Costa",2021,0.151085024
"San pedro de la paz",2017,0.517185926
"San pedro de la paz",2018,0.174593334
"Santo domingo",2019,0.080900535
"Santo domingo",2020,0.239874914
"Santo domingo",2021,0.140817862
"Talcahuano",2017,0.251598736
"Talcahuano",2018,0.099182869
"Talcahuano",2019,0.070381196
"Talcahuano",2020,0.157048148
"Talcahuano",2021,0.420918639
"Taltal",2017,0.443896859
"Taltal",2018,0.310053291
"Taltal",2019,0.326490904
"Taltal",2020,0.15344698
"Taltal",2021,0.20308281
"Tirua",2017,0.390395483
"Tirua",2018,0.304877374
"Tirua",2019,0.086105591
"Tirua",2020,0.303002973
"Tirua",2021,0.182956013
"Tocopilla",2017,0.447484602
"Tocopilla",2018,0.23995816
"Tocopilla",2019,0.117748863
"Tocopilla",2020,0.224849803
"Tocopilla",2021,0.270345926
"Tolten",2017,0.321392894
"Tolten",2018,0.330060125
"Tolten",2019,0.109250865
"Tolten",2020,0.221629944
"Tolten",2021,0.498114831
"Tome",2017,0.263862037
"Tome",2018,0.389674122
"Tome",2019,0.094157618
"Tome",2020,0.112170772
"Tome",2021,0.076381301
"Tortel",2017,0.150271493
"Tortel",2018,0.318030782
"Tortel",2019,0.464425829
"Tortel",2020,0.219368919
"Valdivia",2017,0.401559501
"Valdivia",2018,0.280025909
"Valdivia",2019,0.128867002
"Valdivia",2020,0.061483208
"Valdivia",2021,0.098559752
"Valparaiso",2017,0.40316885
"Valparaiso",2018,0.132237582
"Valparaiso",2019,0.070112092
"Valparaiso",2020,0.115114739
"Valparaiso",2021,0.142841524
"Vichuquen",2017,0.407930463
"Vichuquen",2018,0.171304469
"Vichuquen",2019,0.119233716
"Vichuquen",2020,0.542147104
"Vichuquen",2021,0.363611508
"Vina del mar",2017,0.148393476
"Vina del mar",2018,0.096458063
"Vina del mar",2019,0.165618409
"Vina del mar",2020,0.44945812
"Vina del mar",2021,0.490281983
"Zapallar",2017,0.176106806
"Zapallar",2018,0.370171748
"Zapallar",2019,0.147030798
"Zapallar",2020,0.076165108
"Zapallar",2021,0.105172794
